trait	broad_class	n_donors	n_cells	n_other_cells	mean_donor_delta	SE_x	CI95_lower	CI95_upper	median_donor_delta	donors_delta_gt_0	donors_delta_lt_0	donor_direction_fraction_positive	primary_t_p	sign_flip_p	normality_shapiro_p	parametric_test_status	bootstrap_median	bootstrap_CI95_lower	bootstrap_CI95_upper	bootstrap_fraction_gt_0	global_broad_FDR	within_trait_FDR	status	loo_positive_fraction	loo_n_estimable	leave_one_donor_stability	assoc_mcz	group_FDR	beta	SE_y	magma_p	magma_FDR	mapping_sensitivity_min_effect	mapping_sensitivity_direction_reversals	mapping_sensitivity_status	tier	confidence	robust_traits	cellular_convergence_classification
POAG	RGC	1	172	9929	0.48282173206041684				0.48282173206041684	1	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS		0	UNSTABLE_OR_NOT_ESTIMABLE	1.6251638	0.1912632774222981	-0.02046	0.0089775	0.98866	0.99976		0	NOT_ESTIMABLE	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
POAG	amacrine cells	8	18300	80319	0.01958223571969203	0.12186930258493929	-0.2685928726973546	0.30775734413673866	0.0002721745127311076	4	4	0.5	0.8768825047772371	0.8984375	0.32619237842011417	PASS_FINITE_N_GE_5	0.021046353804486297	-0.20494885013249978	0.2478030561789345	0.5662	1.0	1.0	PASS	0.5	8	UNSTABLE_OR_NOT_ESTIMABLE	-0.05440889	0.7083968818187714	-0.012579	0.012398	0.84484	0.99976	-0.04058011536383519	2	SEVERE_SENSITIVITY_FAILURE	NONE	NULL/UNSUPPORTED	RE	RE_SPECIFIC
POAG	astrocytes	4	248	56365	2.469970904582716	0.17323836743938548	1.918649102191766	3.0212927069736657	2.3362839103154487	4	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL	5.7847614	0.005394605244509876	0.036569	0.009082	2.8448e-05	0.00045790649999999996		0	NOT_ESTIMABLE	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
POAG	bipolar cells	8	21783	76836	-0.0749816697046229	0.08945976926600215	-0.2865204096529064	0.1365570702436606	-0.13374123558151352	3	5	0.375	0.42962742943985854	0.421875	0.4637540378049096	PASS_FINITE_N_GE_5	-0.07763281989085649	-0.22797409070157315	0.08936478702527481	0.1874	0.8285671853482987	0.9666617162396818	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE	-0.000113162445	0.7083968818187714	-0.014132	0.012826	0.86472	0.99976	-0.06488641852616384	1	SEVERE_SENSITIVITY_FAILURE	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
POAG	cones	8	1636	96983	-0.06163630398577116	0.13309203740362907	-0.37634896332428647	0.2530763553527441	-0.2578834795375917	3	5	0.375	0.6573387486210526	0.640625	0.08988249949989055	PASS_FINITE_N_GE_5	-0.06758606574579215	-0.2946659525107976	0.20515843826175734	0.3026	1.0	1.0	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE	-0.00039697005	0.7083968818187714	-0.0025411	0.0095849	0.60454	0.99976	-0.024000304066430576	2	SEVERE_SENSITIVITY_FAILURE	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
POAG	horizontal cells	7	916	89952	-0.44519075646065265	0.10991324199501035	-0.7141387708960084	-0.17624274202529688	-0.4389055478033248	0	7	0.0	0.006723212239809814	0.015625	0.666887412539688	PASS_FINITE_N_GE_5	-0.4430823540189247	-0.6447722456504793	-0.25114116677112774	0.0	0.02016963671942944	0.02016963671942944	PASS	0.0	7	UNSTABLE_OR_NOT_ESTIMABLE	-0.47498134	0.8153210471976887	-0.0347	0.010405	0.99957	0.99976	-0.45665252327731726	0	PASS	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
POAG	microglia	3	173	35797	0.8503699175265274	0.3216638262920721	-0.5336378227135621	2.2343776577666166	1.0277629463997766	3	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL	2.4995658	0.05394605244509876	0.0066323	0.0063497	0.14814	0.44442		0	NOT_ESTIMABLE	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
POAG	rods	8	45857	52762	-0.5776935998032868	0.12320509962801762	-0.8690273663036024	-0.2863598333029712	-0.7373611998072532	0	8	0.0	0.002237443039256275	0.0078125	0.014652681590935026	PASS_FINITE_N_GE_5	-0.5825884076647825	-0.7825550696588874	-0.35253516744916247	0.0	0.008630137437131346	0.010068493676653236	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE	-1.8592116	0.9670329689979553	-0.023854	0.010364	0.98931	0.99976	-0.557886817996158	0	PASS	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
RE	Muller glia	8	9534	89085	1.6182752299444467	0.18189975845382148	1.1881506497456709	2.0483998101432226	1.4833374019180865	8	0	1.0	4.598640108347949e-05	0.0078125	0.5458093410154957	PASS_FINITE_N_GE_5	1.6170446955638411	1.2932669045390306	1.9659500047191634	1.0	0.0002069388048756577	0.00010346940243782885	PASS	1.0	8	POSITIVE_IN_ALL_OR_NEARLY_ALL	3.4650247	0.008991008740849793	0.052278	0.015075	0.00026312	0.00236808	1.6181540622925665	0	PASS	TIER1_BROAD_CLASS	HIGH_CONFIDENCE	AMD;POAG;RE	PAN_TRAIT_CONVERGENT
RE	RGC	1	172	9929	0.19039290224673072				0.19039290224673072	1	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS		0	UNSTABLE_OR_NOT_ESTIMABLE	0.98102283	0.3573926165699959	-0.012231	0.013569	0.81629	0.99976		0	NOT_ESTIMABLE	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
RE	amacrine cells	8	18300	80319	1.2530170936881706	0.06344440294815717	1.1029949198491333	1.4030392675272079	1.3136395918377546	8	0	1.0	2.1320256188962783e-07	0.0078125	0.2735306171936561	PASS_FINITE_N_GE_5	1.253727110356718	1.130386937519036	1.3613546568453756	1.0	2.8782345855099755e-06	1.9188230570066503e-06	PASS	1.0	8	POSITIVE_IN_ALL_OR_NEARLY_ALL	5.0882826	0.005394605244509876	0.048811	0.018326	0.0038716	0.0261333	1.2328095943049757	0	PASS	TIER1_BROAD_CLASS	HIGH_CONFIDENCE	RE	RE_SPECIFIC
RE	astrocytes	4	248	56365	1.3566053604665491	0.15677979735487005	0.8576620736313274	1.8555486473017708	1.4467682479386994	4	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL	2.6527853	0.03853289729782513	0.025175	0.013549	0.031594	0.142173		0	NOT_ESTIMABLE	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
RE	bipolar cells	8	21783	76836	-0.5567323716572066	0.15072383761646188	-0.9131376133782252	-0.200327129936188	-0.3780221547769711	0	8	0.0	0.007718584847226653	0.0078125	0.06949022928306056	PASS_FINITE_N_GE_5	-0.5567192363411868	-0.8491328977217265	-0.3049136076610233	0.0	0.020840179087511963	0.013893452725007976	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE	-1.5190146	0.9670329689979553	0.011475	0.018763	0.27042	0.608445	-0.6668431460912068	0	PASS	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
RE	cones	8	1636	96983	-0.6567004182981826	0.056075000954700985	-0.7892967254637571	-0.5241041111326081	-0.6534447662420151	0	8	0.0	7.486806777750658e-06	0.0078125	0.2597728522334122	PASS_FINITE_N_GE_5	-0.657997812143194	-0.7548343900556125	-0.5545727192715881	0.0	6.738126099975592e-05	3.369063049987796e-05	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE	-0.71997255	0.8772097644598588	0.011483	0.014303	0.21105	0.569835	-0.7003049444649495	0	PASS	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
RE	horizontal cells	7	916	89952	-0.5668585625200872	0.1516618218446339	-0.9379616717579589	-0.1957554532822155	-0.48100770178046665	0	7	0.0	0.009649195296857491	0.015625	0.611651474360251	PASS_FINITE_N_GE_5	-0.5591771486191277	-0.8622349034209922	-0.31711559597107736	0.0	0.02192769979827647	0.014473792945286237	PASS	0.0	7	UNSTABLE_OR_NOT_ESTIMABLE	-0.2709436	0.7745112265859332	-0.052317	0.015391	0.99966	0.99976	-0.6144537680556913	0	PASS	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
RE	microglia	3	173	35797	0.9035992487716542	0.2629812299651357	-0.22791765819668552	2.0351161557399937	0.830276361195715	3	0	1.0				INSUFFICIENT_DONORS					1.0	1.0	INSUFFICIENT_DONORS	1.0	0	POSITIVE_IN_ALL_OR_NEARLY_ALL	1.8159099	0.13756244033575057	-0.033013	0.0094566	0.99976	0.99976		0	NOT_ESTIMABLE	NONE	NULL/UNSUPPORTED	none	NO_ROBUST_SIGNAL
RE	rods	8	45857	52762	-0.9271711782008756	0.08887304525672542	-1.1373225363278316	-0.7170198200739195	-0.8935741848608717	0	8	0.0	1.6172357626953774e-05	0.0078125	0.017773699171778123	PASS_FINITE_N_GE_5	-0.9205414900171975	-1.1126158145584826	-0.7921683212834396	0.0	0.00010916341398193798	4.851707288086132e-05	PASS	0.0	8	UNSTABLE_OR_NOT_ESTIMABLE	-1.5140477	0.9670329689979553	0.0099785	0.015356	0.25791	0.608445	-0.9590711964393779	0	PASS	NONE	EXPLORATORY	none	NO_ROBUST_SIGNAL
