GENE	Average	Muller_glia	RGC	amacrine_cells	astrocytes	bipolar_cells	cones	horizontal_cells	microglia	rods
100288814	0.23783389	-0.15395325	0.23482713	-0.10751002	-0.23783389	0.047681947	0.46281916	-0.23783389	-0.23783389	0.22963668
100289462	0	0	0	0	0	0	0	0	0	0
100289635	3.3553281	-0.24743714	0.4220397	0.22429051	-0.024683927	-0.0049375107	-0.13133858	0.18129991	-0.30850283	-0.11073013
100289678	2.8803753	-0.194182	0.47985579	0.21785632	0.3001342	-0.01724232	-0.52622816	-0.040974829	0.16262332	-0.38184231
100293516	3.1214153	0.15602532	0.30642512	0.24676615	0.027402143	0.051686476	0.048140188	-0.096510196	-0.70160653	-0.038328673
1003	0.40023235	-0.27087687	-0.21672886	-0.3396612	2.5693993	-0.31571486	-0.40023235	-0.23487825	-0.40023235	-0.39107454
100303755	1.5628226	-0.081641235	-0.33405085	0.18495667	0.51145841	0.29993273	-0.12286019	0.44645001	-1.0868655	0.18261994
100310812	1.446964	0.023914164	-0.1067481	0.13916033	-0.67774671	0.3049167	0.3021482	0.053274613	-0.29402703	0.25510784
100310846	0.48817478	-0.086369479	-0.14967722	-0.026215457	0.17113728	-0.10987856	-0.25436467	0.064450986	0.38583358	0.005083541
100316904	2.7921301	0.19951225	-1.7579595	-0.47097627	-0.33314652	0.15019674	0.51269331	-0.034122855	1.2302565	0.50354633
100329135	0.16623706	0.21424707	0.017266426	0.17684261	-0.16623706	0.039262301	-0.11446662	-0.12245297	-0.16623706	0.1217753
10036	1.7960539	-0.24778312	0.26423686	0.65452197	-0.79568187	0.63535877	-0.50302641	-0.17097848	-0.17764224	0.34099451
10038	3.29855	0.0060603268	-0.080919763	0.3521	0.19526147	-0.039317082	-0.50566019	0.20971461	0.1995713	-0.33681069
100381270	0.75302819	0.56314146	-0.56952469	-0.025391848	-0.0002806118	0.15298671	0.13847974	0.35694128	-0.75302819	0.13667616
10039	1.0022467	0.15276649	0.48482598	0.027555497	0.5830565	-0.32878409	0.1313233	-0.5953136	-0.32526679	-0.1301633
1004	1.624275	-1.0689528	1.3681217	1.8110148	0.98754781	2.2324086	-1.3639684	-1.3542346	-1.624275	-0.9876621
10040	4.2640635	-0.11712781	-0.92503991	0.24326365	-0.2042333	0.76696928	0.17581379	1.2435607	-1.3661309	0.18292448
10042	3.9470263	-0.044746833	-0.40793598	0.20637956	-0.18622805	0.35009491	-0.24573569	0.14357375	-0.16865064	0.35324897
10043	3.328481	0.066214912	0.18092733	-0.055465842	-0.061362315	-0.39358399	-0.37592789	-0.23829384	1.1441596	-0.266668
100431172	0.036005633	-0.0044604776	-0.036005633	-0.014769186	-0.036005633	-0.032826626	-0.036005633	0.21703729	-0.036005633	-0.020958465
10044	1.626716	-0.54219234	0.02765751	1.2973184	0.13077978	-0.1230229	-0.91464791	0.39362612	0.24618432	-0.51570297
10045	0.89251436	0.37173444	-0.89251436	-0.53482482	-0.54186396	0.9624479	1.3519807	-0.69887897	-0.89251436	0.87443343
10046	2.6061641	1.0151242	-0.1486958	0.71874949	-1.1561221	0.093277201	2.2343932	1.7207171	-2.6061641	-1.8712793
100462977	0.0056302593	-0.0056302593	-0.0056302593	0.03873532	-0.0056302593	-0.0024512527	-0.0056302593	-0.0056302593	-0.0056302593	-0.0025025121
100462983	0.00034752747	-0.00034752747	-0.00034752747	-0.00034752747	-0.00034752747	-0.00034752747	-0.00034752747	-0.00034752747	-0.00034752747	0.0027802197
100463285	0.33665368	0.028617237	-0.15315019	-0.023156537	0.044572417	0.22830312	0.043241535	-0.29286958	-0.33665368	0.46109569
100463289	0.053205145	-0.038812544	-0.053205145	0.31715819	-0.053205145	0.0052412444	-0.053205145	-0.053205145	-0.053205145	-0.017561162
100463482	0	0	0	0	0	0	0	0	0	0
100463486	0.037549683	-0.0059670727	-0.037549683	0.023010994	-0.037549683	-0.005055634	-0.037549683	0.13361871	-0.037549683	0.0045917363
100463488	0.0013382171	-0.0013382171	-0.0013382171	-0.0013382171	-0.0013382171	0.0075832689	-0.0013382171	-0.0013382171	-0.0013382171	0.0017842507
10047	0.058004861	-0.058004861	-0.058004861	-0.058004861	-0.058004861	-0.029754996	0.39616234	-0.058004861	-0.058004861	-0.018378173
10048	4.6654497	0.20474444	-0.39298506	0.13347543	0.2311864	-0.056272078	-0.23021563	0.013694758	0.44863807	-0.35226632
10049	4.2743579	-0.12926812	-0.36343834	-0.2269593	-0.0220837	-0.036740331	0.01664044	0.16428288	0.50637793	0.091188549
100499483	3.1714337	-0.60145461	0.7751381	0.41552098	-0.32822185	-0.008286426	0.54519806	0.010570762	-1.4943336	0.68586856
1005	2.5939503	0.971241	2.8572378	3.0129592	-0.13883822	-0.37223366	-1.8891456	-1.6507958	-1.6525186	-1.1379061
10050	0.0026289769	-0.0026289769	-0.0026289769	0.021031815	-0.0026289769	-0.0026289769	-0.0026289769	-0.0026289769	-0.0026289769	-0.0026289769
100500938	0.36107334	-0.32321076	0.22986205	0.24024645	-0.36107334	0.33170296	-0.10687896	0.22589396	-0.36107334	0.12453097
100505385	4.7485144	-2.021396	1.8778198	-0.047298708	-1.2752497	2.7755447	1.5190456	1.4819746	-1.9499929	-2.3604473
100505573	1.4538114	-0.33588195	-0.66149108	0.12529929	-0.59792369	0.084624942	-0.47232501	-0.28999057	2.1548583	-0.0071702084
100505591	0	0	0	0	0	0	0	0	0	0
100505679	0.43168901	0.33562168	0.15924637	0.59354019	-0.15360306	-0.076022264	-0.027082245	-0.23001155	-0.43168901	-0.17000012
100505724	0	0	0	0	0	0	0	0	0	0
100505741	2.8188729	0.38929284	-2.1221841	-0.37640976	-0.90106868	-0.20737726	1.2312893	0.067438702	0.72040774	1.1986113
100505753	0	0	0	0	0	0	0	0	0	0
100505877	0.064698988	0.05872904	-0.064698988	0.00018466703	-0.064698988	0.13722003	-0.064698988	0.10065511	-0.064698988	-0.037992897
100505993	0.026333803	0.065465012	-0.026333803	-0.00037013293	-0.026333803	0.044296795	-0.026333803	-0.026333803	-0.026333803	0.022277343
100506012	2.198096	0.07376066	0.27647701	0.020294234	-0.2013771	-0.033914142	-0.33576308	-0.32687571	0.516835	0.010563138
100506013	0.028325126	0.056591936	-0.028325126	0.0081162536	-0.028325126	-7.526071e-05	0.020819854	-0.028325126	-0.028325126	0.027847719
100506049	0.12342561	0.010206151	-0.12342561	0.19820895	-0.12342561	0.15505662	0.045172358	-0.048072556	-0.12342561	0.0097053035
100506084	4.0930307	-0.047450996	-1.1006339	0.056353981	0.12730559	0.06347538	0.18936001	-0.099958774	0.65618906	0.15535967
100506164	0.0046655127	-0.0046655127	-0.0046655127	0.0093853455	-0.0046655127	0.020145496	-0.0046655127	-0.0046655127	-0.0046655127	-0.0015377655
100506243	1.7698333	0.62506864	0.21033944	0.54301142	0.46234759	0.3072716	-0.51186533	-0.090818898	-1.7698333	0.2244788
100506564	0.12318101	0.15550887	0.060322483	-0.019922527	0.15490495	-0.035853722	-0.087507613	-0.07939691	-0.12318101	-0.024874529
100506581	2.6766327	-0.31023057	-0.20205975	0.41450731	0.80227576	0.14320472	-0.25718677	-0.33498164	-0.22212074	-0.033408318
100506650	0.0064261063	-0.0064261063	-0.0064261063	0.007624752	-0.0064261063	-0.0064261063	-0.0064261063	0.037357992	-0.0064261063	-0.0064261063
100506658	1.8038325	0.4103753	0.20376561	-0.21401134	1.5103054	-0.50738867	0.083440073	-0.12694763	-1.1394032	-0.22013551
100506736	0.032374579	0.14623354	-0.032374579	0.0078576092	-0.032374579	0.0076175625	-0.032374579	-0.032374579	-0.032374579	0.00016418549
100507003	0.086076767	0.40411995	-0.086076767	-0.046637117	-0.086076767	-0.028294681	-0.086076767	0.042337687	-0.086076767	-0.02721877
100507027	1.1873785	-0.25464083	-0.15320785	0.010732171	0.24490685	-0.12031746	-0.33329106	-0.46494313	-1.1873785	2.2581398
100507050	0.33634021	0.010297921	-0.33634021	0.048637829	-0.33634021	1.3908208	-0.13311919	-0.18373734	-0.33634021	-0.12387936
100507055	0.041257307	0.023903079	0.14224618	0.052868528	-0.041257307	-0.041257307	-0.041257307	-0.041257307	-0.041257307	-0.012731253
100507096	0.00028612207	-0.00028612207	-0.00028612207	0.0022889766	-0.00028612207	-0.00028612207	-0.00028612207	-0.00028612207	-0.00028612207	-0.00028612207
100507170	0	0	0	0	0	0	0	0	0	0
100507203	0.13079087	-0.046607416	-0.13079087	-0.10372548	0.34387075	-0.13079087	-0.031722871	-0.13079087	-0.13079087	0.36134848
100507290	1.781233	-0.45422581	0.081034256	0.10582981	0.20614292	0.14859945	-0.17443481	0.11870482	-0.23229295	0.2006423
100507341	1.1805437	-0.081970029	0.68172349	0.64569993	-0.41132641	0.60458007	-0.35962423	0.24184353	-1.1805437	-0.14038262
