trait	broad_class	sensitivity	donors	excluded_donor_or_rule	effect	primary_effect	direction_reversal	status
AMD	rods	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.05828336146907476	-0.07095093003523992	False	PASS
AMD	rods	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	-0.04534834891875002	-0.07095093003523992	False	PASS
POAG	Muller glia	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	2.0625621678878745	1.9826403899095328	False	PASS
POAG	Muller glia	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	2.0107080384523033	1.9826403899095328	False	PASS
POAG	Muller glia	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	1.992941170375	1.9826403899095328	False	PASS
POAG	RGC	A_TOP_75_PERCENT_MAPPING	1	top_75_percent_mapping	0.48282173206041684	0.48282173206041684	False	NOT_ESTIMABLE
POAG	RGC	B_EXCLUDE_LOWEST_MAPPING	1	D027-13	0.48282173206041684	0.48282173206041684	False	NOT_ESTIMABLE
POAG	RGC	C_MEDIAN_DONOR_CLASS_SCORE	1	median_score	0.579689605	0.48282173206041684	False	NOT_ESTIMABLE
POAG	amacrine cells	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	-0.04058011536383519	0.01958223571969203	True	PASS
POAG	amacrine cells	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.005364990124794348	0.01958223571969203	True	PASS
POAG	amacrine cells	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	0.11891124374999999	0.01958223571969203	False	PASS
POAG	astrocytes	A_TOP_75_PERCENT_MAPPING	2	top_75_percent_mapping	2.6799132351822132	2.469970904582716	False	NOT_ESTIMABLE
POAG	astrocytes	B_EXCLUDE_LOWEST_MAPPING	3	D027-13	2.528650487457339	2.469970904582716	False	NOT_ESTIMABLE
POAG	astrocytes	C_MEDIAN_DONOR_CLASS_SCORE	4	median_score	2.57229908475	2.469970904582716	False	NOT_ESTIMABLE
POAG	bipolar cells	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	-0.055395147745659366	-0.0749816697046229	False	PASS
POAG	bipolar cells	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.06488641852616384	-0.0749816697046229	False	PASS
POAG	bipolar cells	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	0.016933302312499995	-0.0749816697046229	True	PASS
POAG	cones	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	0.014837172092826733	-0.06163630398577116	True	PASS
POAG	cones	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.024000304066430576	-0.06163630398577116	False	PASS
POAG	cones	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	0.010684944687500003	-0.06163630398577116	True	PASS
POAG	horizontal cells	A_TOP_75_PERCENT_MAPPING	5	top_75_percent_mapping	-0.45665252327731726	-0.44519075646065265	False	PASS
POAG	horizontal cells	B_EXCLUDE_LOWEST_MAPPING	6	D027-13	-0.43981610468964477	-0.44519075646065265	False	PASS
POAG	horizontal cells	C_MEDIAN_DONOR_CLASS_SCORE	7	median_score	-0.4076818240714286	-0.44519075646065265	False	PASS
POAG	microglia	A_TOP_75_PERCENT_MAPPING	2	top_75_percent_mapping	0.6269488540530594	0.8503699175265274	False	NOT_ESTIMABLE
POAG	microglia	B_EXCLUDE_LOWEST_MAPPING	3	D027-13	0.8503699175265274	0.8503699175265274	False	NOT_ESTIMABLE
POAG	microglia	C_MEDIAN_DONOR_CLASS_SCORE	3	median_score	1.0197291273333333	0.8503699175265274	False	NOT_ESTIMABLE
POAG	rods	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	-0.5244710664686314	-0.5776935998032868	False	PASS
POAG	rods	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.557886817996158	-0.5776935998032868	False	PASS
POAG	rods	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	-0.5215523964812501	-0.5776935998032868	False	PASS
RE	Muller glia	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	1.6181540622925665	1.6182752299444467	False	PASS
RE	Muller glia	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	1.6426592802230595	1.6182752299444467	False	PASS
RE	Muller glia	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	1.64958557335625	1.6182752299444467	False	PASS
RE	RGC	A_TOP_75_PERCENT_MAPPING	1	top_75_percent_mapping	0.19039290224673072	0.19039290224673072	False	NOT_ESTIMABLE
RE	RGC	B_EXCLUDE_LOWEST_MAPPING	1	D027-13	0.19039290224673072	0.19039290224673072	False	NOT_ESTIMABLE
RE	RGC	C_MEDIAN_DONOR_CLASS_SCORE	1	median_score	0.253573445	0.19039290224673072	False	NOT_ESTIMABLE
RE	amacrine cells	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	1.2328095943049757	1.2530170936881706	False	PASS
RE	amacrine cells	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	1.2398220040293795	1.2530170936881706	False	PASS
RE	amacrine cells	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	1.366952021875	1.2530170936881706	False	PASS
RE	astrocytes	A_TOP_75_PERCENT_MAPPING	2	top_75_percent_mapping	1.1945370500436703	1.3566053604665491	False	NOT_ESTIMABLE
RE	astrocytes	B_EXCLUDE_LOWEST_MAPPING	3	D027-13	1.3386462287430312	1.3566053604665491	False	NOT_ESTIMABLE
RE	astrocytes	C_MEDIAN_DONOR_CLASS_SCORE	4	median_score	1.3660326971249999	1.3566053604665491	False	NOT_ESTIMABLE
RE	bipolar cells	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	-0.6668431460912068	-0.5567323716572066	False	PASS
RE	bipolar cells	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.6154028099532531	-0.5567323716572066	False	PASS
RE	bipolar cells	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	-0.5020412858125	-0.5567323716572066	False	PASS
RE	cones	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	-0.7003049444649495	-0.6567004182981826	False	PASS
RE	cones	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.6615647283764898	-0.6567004182981826	False	PASS
RE	cones	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	-0.5958805549999999	-0.6567004182981826	False	PASS
RE	horizontal cells	A_TOP_75_PERCENT_MAPPING	5	top_75_percent_mapping	-0.5768525523932744	-0.5668585625200872	False	PASS
RE	horizontal cells	B_EXCLUDE_LOWEST_MAPPING	6	D027-13	-0.6144537680556913	-0.5668585625200872	False	PASS
RE	horizontal cells	C_MEDIAN_DONOR_CLASS_SCORE	7	median_score	-0.5467781930714286	-0.5668585625200872	False	PASS
RE	microglia	A_TOP_75_PERCENT_MAPPING	2	top_75_percent_mapping	0.6597440284522924	0.9035992487716542	False	NOT_ESTIMABLE
RE	microglia	B_EXCLUDE_LOWEST_MAPPING	3	D027-13	0.9035992487716542	0.9035992487716542	False	NOT_ESTIMABLE
RE	microglia	C_MEDIAN_DONOR_CLASS_SCORE	3	median_score	0.8523382981666666	0.9035992487716542	False	NOT_ESTIMABLE
RE	rods	A_TOP_75_PERCENT_MAPPING	6	top_75_percent_mapping	-0.9590711964393779	-0.9271711782008756	False	PASS
RE	rods	B_EXCLUDE_LOWEST_MAPPING	7	D027-13	-0.9498644353956786	-0.9271711782008756	False	PASS
RE	rods	C_MEDIAN_DONOR_CLASS_SCORE	8	median_score	-0.8858339551875001	-0.9271711782008756	False	PASS
