trait	donor_id	broad_class	n_cells_class	n_cells_other	class_mean_norm_score	other_mean_norm_score	delta
RE	19-D007	Muller glia	1526	18148	1.2141238048782437	-0.08337135048793252	1.2974951553661762
RE	19-D009	Muller glia	767	8485	2.163238589470665	-0.21103025785380908	2.374268847324474
RE	19-D010	Muller glia	2198	10656	1.1325413171127388	-0.23668861213478418	1.369229929247523
RE	D005-13	Muller glia	1438	11577	1.580237554521558	-0.2094530332844597	1.7896905878060176
RE	D009-13	Muller glia	1241	8860	1.31503177584448	-0.2040561499975361	1.5190879258420162
RE	D027-13	Muller glia	1571	12252	1.2760933188851686	-0.1714935591089879	1.4475868779941565
RE	D030-13	Muller glia	658	11491	2.171400973571428	-0.1256022071267	2.297003180698128
RE	D009-13	RGC	172	9929	0.16972854878255814	-0.020664353464172586	0.19039290224673072
RE	17D013	amacrine cells	5260	2491	0.48986381041595933	-0.9385723838800483	1.4284361942960075
RE	19-D007	amacrine cells	6687	12987	0.7468446009993016	-0.35839071296628394	1.1052353139655855
RE	19-D009	amacrine cells	478	8774	1.336006797934435	-0.08775917360134834	1.4237659715357833
RE	19-D010	amacrine cells	1115	11739	1.0488490638355157	-0.10241883823758921	1.151267902073105
RE	D005-13	amacrine cells	662	12353	1.2049797031729605	-0.07691675920284059	1.2818964623758011
RE	D009-13	amacrine cells	2575	7526	0.6682381664276893	-0.25201917801042656	0.9202573444381159
RE	D027-13	amacrine cells	652	13171	1.2749503971644172	-0.07043232413529116	1.3453827212997083
RE	D030-13	amacrine cells	871	11278	1.2686315646257178	-0.09926327489554083	1.3678948395212587
RE	19-D007	astrocytes	119	19555	0.9178081627731094	0.011787802926065035	0.9060203598470443
RE	D005-13	astrocytes	48	12967	1.6091507434166665	-0.017713842725085988	1.6268645861417526
RE	D009-13	astrocytes	49	10052	1.4584370994693878	-0.02461664077090823	1.4830537402402961
RE	D027-13	astrocytes	32	13791	1.4002438834375	-0.010238872199602633	1.4104827556371027
RE	17D013	bipolar cells	133	7618	-1.1187228572721806	0.05086505310579495	-1.1695879103779756
RE	19-D007	bipolar cells	10117	9557	-0.5607154028295868	0.6291186970823617	-1.1898340999119483
RE	19-D009	bipolar cells	1401	7851	-0.18292503686063527	0.015907557874943332	-0.1988325947355786
RE	19-D010	bipolar cells	1835	11019	-0.387699012246703	0.06158450418170797	-0.44928351642841097
RE	D005-13	bipolar cells	1741	11274	-0.2774396730410626	0.029321120084468712	-0.3067607931255313
