state	donor	cells	state_total_cells	donor_total_muller_cells	donors_in_state	donor_fraction_of_state	state_fraction_of_donor	age	region	mean_total_counts	mean_n_genes	mean_pct_counts_mt	state_donor_status	state_eligible
MG_state_04	19-D010	1081	1096	2198	5	0.9863138686131386	0.49181073703366696		from GSE manifest	3769.599444958372	1853.2469935245144	0.02445852975921465	PASS	False
MG_state_04	D009-13	1	1096	1241	5	0.0009124087591240876	0.0008058017727639		from GSE manifest	5043.0	1887.0	0.13880626611144162	INSUFFICIENT_STATE_CELLS	False
MG_state_04	D027-13	1	1096	1571	5	0.0009124087591240876	0.0006365372374283895		from GSE manifest	5479.0	2394.0	0.05475451724767294	INSUFFICIENT_STATE_CELLS	False
MG_state_05	17D013	7	1176	135	8	0.005952380952380952	0.05185185185185185		from GSE manifest	5225.285714285715	2282.4285714285716	0.07090276468204475	INSUFFICIENT_STATE_CELLS	False
MG_state_05	19-D007	74	1176	1526	8	0.06292517006802721	0.04849279161205767		from GSE manifest	3800.0405405405404	1943.7972972972973	0.1404484801074882	PASS	False
MG_state_05	19-D009	3	1176	767	8	0.002551020408163265	0.003911342894393742		from GSE manifest	4221.666666666667	2138.0	0.04949166052731283	INSUFFICIENT_STATE_CELLS	False
MG_state_05	19-D010	17	1176	2198	8	0.01445578231292517	0.0077343039126478615		from GSE manifest	3303.470588235294	1777.5882352941176	0.03720696848274461	INSUFFICIENT_STATE_CELLS	False
MG_state_05	D005-13	2	1176	1438	8	0.0017006802721088435	0.0013908205841446453		from GSE manifest	6475.0	3095.5	0.06646581406787999	INSUFFICIENT_STATE_CELLS	False
MG_state_05	D009-13	1017	1176	1241	8	0.8647959183673469	0.8195004029008863		from GSE manifest	7463.961651917404	2951.7738446411013	0.12451023871662015	PASS	False
MG_state_05	D027-13	51	1176	1571	8	0.04336734693877551	0.032463399108847865		from GSE manifest	5803.549019607844	2700.0196078431372	0.08129761128024217	PASS	False
MG_state_05	D030-13	5	1176	658	8	0.004251700680272109	0.007598784194528876		from GSE manifest	5755.6	2604.0	0.07225028168105327	INSUFFICIENT_STATE_CELLS	False
MG_state_06	17D013	5	1094	135	6	0.004570383912248629	0.037037037037037035		from GSE manifest	4917.8	2067.6	0.09945402139503681	INSUFFICIENT_STATE_CELLS	False
MG_state_06	19-D007	4	1094	1526	6	0.003656307129798903	0.002621231979030144		from GSE manifest	5653.25	2203.25	0.07295575753157356	INSUFFICIENT_STATE_CELLS	False
MG_state_06	19-D009	11	1094	767	6	0.010054844606946984	0.014341590612777053		from GSE manifest	5439.0	2211.3636363636365	0.07604013156306795	INSUFFICIENT_STATE_CELLS	False
MG_state_06	19-D010	1070	1094	2198	6	0.9780621572212066	0.48680618744313015		from GSE manifest	3725.585046728972	1809.9953271028037	0.028109505832939842	PASS	False
MG_state_06	D027-13	3	1094	1571	6	0.002742230347349177	0.0019096117122851686		from GSE manifest	5298.0	2377.0	0.02422844040206013	INSUFFICIENT_STATE_CELLS	False
MG_state_06	D030-13	1	1094	658	6	0.0009140767824497258	0.001519756838905775		from GSE manifest	4898.0	2221.0	0.04083299305839118	INSUFFICIENT_STATE_CELLS	False
MG_state_07	17D013	1	81	135	6	0.012345679012345678	0.007407407407407408		from GSE manifest	5084.0	2031.0	0.11801730920535011	INSUFFICIENT_STATE_CELLS	False
MG_state_07	19-D007	34	81	1526	6	0.41975308641975306	0.022280471821756225		from GSE manifest	4237.35294117647	2074.5882352941176	0.026454649804863728	PASS	False
MG_state_07	19-D009	1	81	767	6	0.012345679012345678	0.001303780964797914		from GSE manifest	7474.0	3148.0	0.0	INSUFFICIENT_STATE_CELLS	False
MG_state_07	19-D010	19	81	2198	6	0.2345679012345679	0.008644222020018199		from GSE manifest	3670.2631578947367	1898.157894736842	0.028673523306007948	INSUFFICIENT_STATE_CELLS	False
MG_state_07	D009-13	24	81	1241	6	0.2962962962962963	0.019339242546333603		from GSE manifest	7118.083333333333	2899.5	0.058788958925666886	INSUFFICIENT_STATE_CELLS	False
MG_state_07	D027-13	2	81	1571	6	0.024691358024691357	0.001273074474856779		from GSE manifest	5830.5	2827.5	0.034527213164458614	INSUFFICIENT_STATE_CELLS	False
MG_state_08	19-D007	3	1469	1526	7	0.0020422055820285907	0.001965923984272608		from GSE manifest	4421.666666666667	2225.0	0.06160805143308153	INSUFFICIENT_STATE_CELLS	False
MG_state_08	19-D009	4	1469	767	7	0.002722940776038121	0.005215123859191656		from GSE manifest	4724.5	2381.25	0.03736314260989831	INSUFFICIENT_STATE_CELLS	False
MG_state_08	19-D010	2	1469	2198	7	0.0013614703880190605	0.0009099181073703367		from GSE manifest	3575.0	1948.0	0.2586127001216653	INSUFFICIENT_STATE_CELLS	False
MG_state_08	D005-13	1432	1469	1438	7	0.9748127978216474	0.9958275382475661		from GSE manifest	6189.358240223463	2870.7583798882683	0.07634801420027765	PASS	False
MG_state_08	D009-13	3	1469	1241	7	0.0020422055820285907	0.0024174053182917004		from GSE manifest	5201.666666666667	2491.3333333333335	0.4393585786197565	INSUFFICIENT_STATE_CELLS	False
MG_state_08	D027-13	24	1469	1571	7	0.016337644656228726	0.015276893698281349		from GSE manifest	4627.708333333333	2349.8333333333335	0.09443949307083281	INSUFFICIENT_STATE_CELLS	False
MG_state_08	D030-13	1	1469	658	7	0.0006807351940095302	0.001519756838905775		from GSE manifest	5757.0	2759.0	0.03474031613687685	INSUFFICIENT_STATE_CELLS	False
MG_state_09	19-D007	20	770	1526	5	0.025974025974025976	0.01310615989515072		from GSE manifest	3924.5	1994.5	0.05062357869027292	INSUFFICIENT_STATE_CELLS	False
MG_state_09	19-D009	740	770	767	5	0.961038961038961	0.9647979139504563		from GSE manifest	5406.475675675676	2386.1324324324323	0.05237009545042265	PASS	False
MG_state_09	19-D010	3	770	2198	5	0.003896103896103896	0.001364877161055505		from GSE manifest	3129.0	1772.3333333333333	0.06552349631760104	INSUFFICIENT_STATE_CELLS	False
MG_state_09	D027-13	1	770	1571	5	0.0012987012987012987	0.0006365372374283895		from GSE manifest	4246.0	2249.0	0.5887894488930758	INSUFFICIENT_STATE_CELLS	False
MG_state_09	D030-13	6	770	658	5	0.007792207792207792	0.00911854103343465		from GSE manifest	6568.0	2922.1666666666665	0.06588966948861223	INSUFFICIENT_STATE_CELLS	False
MG_state_10	19-D007	3	189	1526	2	0.015873015873015872	0.001965923984272608		from GSE manifest	5265.333333333333	2323.6666666666665	0.01968503937007874	INSUFFICIENT_STATE_CELLS	False
MG_state_10	D009-13	186	189	1241	2	0.9841269841269841	0.1498791297340854		from GSE manifest	8945.36559139785	3194.6612903225805	0.07167917567802794	PASS	False
MG_state_11	D005-13	3	1156	1438	3	0.0025951557093425604	0.002086230876216968		from GSE manifest	5470.333333333333	2576.6666666666665	0.053542617310888295	INSUFFICIENT_STATE_CELLS	False
MG_state_11	D009-13	2	1156	1241	3	0.0017301038062283738	0.0016116035455278		from GSE manifest	2353.0	1376.0	0.3537088169049918	INSUFFICIENT_STATE_CELLS	False
MG_state_11	D027-13	1151	1156	1571	3	0.995674740484429	0.7326543602800764		from GSE manifest	5196.813205907906	2533.5482189400523	0.11355915552286819	PASS	False
