trait	gene	cell_spearman_rho	cell_P_descriptive	donor_spearman_rho	donor_P	marker_support	program_support	cell_FDR_descriptive	donor_FDR	candidate_support	analysis_note
RE	CFHR4	-0.016673785986965034	0.10353232761589118	-0.3805097170738808	0.3524193622940928	False	NONE	0.235442232892949	0.7052509109768337	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	VWA7	-0.0013407276208788	0.8958587704720661	0.3805097170738808	0.3524193622940928	False	NONE	0.945945439429074	0.7052509109768337	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	MUC13	-0.01282892914423994	0.21037599851606212	0.37126414119311024	0.3652020580197782	False	NONE	0.3845655272019041	0.729977478121309	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	GPR3	0.010736576574099892	0.294530001552241	0.37126414119311024	0.3652020580197782	False	NONE	0.4785945185429131	0.729977478121309	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	HIST1H1C	0.06719208483099554	5.122014751189428e-11	0.3571428571428572	0.38512064355625636	False	NONE	1.2609737034942605e-09	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	SYNPR	-0.06642954718518568	8.434000259735814e-11	-0.3571428571428572	0.38512064355625636	False	MG_program_04	1.990424061297652e-09	0.7374834036091266	MARKER_OR_PROGRAM_SUPPORTED	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	SPAG4	0.06285808240188695	8.104266544410711e-10	0.3571428571428572	0.38512064355625636	False	NONE	1.612372099707759e-08	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	IGSF11	0.05862880483227259	1.0112979726516454e-08	0.3571428571428572	0.38512064355625636	False	NONE	1.679932845832005e-07	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	RAD51B	-0.05496684639361299	7.854457817401611e-08	-0.3571428571428572	0.38512064355625636	False	NONE	1.0925997825670045e-06	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	ANKRD37	-0.049910162453545015	1.0840245613955222e-06	-0.3571428571428572	0.38512064355625636	False	MG_program_03	1.2242680030018076e-05	0.7374834036091266	MARKER_OR_PROGRAM_SUPPORTED	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	MFSD8	-0.04432760055311144	1.4924123813921541e-05	-0.3571428571428572	0.38512064355625636	False	NONE	0.00012679725317693477	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	AC002069.2	-0.03223680436411698	0.0016434780630297163	-0.3571428571428572	0.38512064355625636	False	NONE	0.00795471277466434	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	AL355612.1	-0.03194894632902119	0.0018087995343818645	-0.3571428571428572	0.38512064355625636	False	NONE	0.008620768811496853	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	GRB10	0.031836555272757534	0.0018773959797233992	0.3571428571428572	0.38512064355625636	False	NONE	0.00892284589251871	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	AMPD3	-0.030733966551305083	0.002688757635836988	-0.3571428571428572	0.38512064355625636	False	NONE	0.012170540515653668	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	CELA2B	-0.02997058077974922	0.0034261523460216133	-0.3571428571428572	0.38512064355625636	False	MG_program_03	0.015128120423336725	0.7374834036091266	MARKER_OR_PROGRAM_SUPPORTED	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	BAIAP3	0.029815651164879924	0.003596617365899552	0.3571428571428572	0.38512064355625636	False	NONE	0.015678502708418175	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	SETBP1	0.029796076999019126	0.0036186944799430154	0.3571428571428572	0.38512064355625636	False	NONE	0.015754672405044527	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	PRSS23	-0.02943163841703257	0.004052887047229249	0.3571428571428572	0.38512064355625636	False	NONE	0.017401479894126087	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	CLIC4	-0.028476392499290765	0.0054242336020888715	-0.3571428571428572	0.38512064355625636	False	NONE	0.022176496279985802	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	AC078845.1	-0.028104791613029333	0.006062235127988364	0.3571428571428572	0.38512064355625636	False	NONE	0.024348554704197393	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	KALRN	-0.027693251827869598	0.006847026166101551	-0.3571428571428572	0.38512064355625636	False	NONE	0.027181581833410098	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	ZFP2	0.026941447046506847	0.008519547136863256	0.3571428571428572	0.38512064355625636	False	NONE	0.03210780870302429	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	CDKN2C	0.026109262520746215	0.010788795338751007	0.3571428571428572	0.38512064355625636	False	NONE	0.03935954973262894	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	MTMR4	0.02591276386910589	0.011397398250911807	0.3571428571428572	0.38512064355625636	False	NONE	0.04122822073427083	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	IFT80	-0.02588318866249148	0.011491591001080017	-0.3571428571428572	0.38512064355625636	False	NONE	0.04148124937309685	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	MOB3A	0.025662035707030132	0.012218099149439632	0.3571428571428572	0.38512064355625636	False	NONE	0.04378045580040044	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	BCAS3	-0.025098903502519254	0.01425482480589358	-0.3571428571428572	0.38512064355625636	False	NONE	0.049724781331057934	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	SLC30A8	-0.024517735383969994	0.016665218694569345	-0.3571428571428572	0.38512064355625636	False	NONE	0.05685780495794247	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	BRD2	0.022324573475250294	0.029271816615012766	0.3571428571428572	0.38512064355625636	False	NONE	0.09019645666225883	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	HCN1	-0.021145629983032245	0.03895461120628812	-0.3571428571428572	0.38512064355625636	False	NONE	0.11501525413970486	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	AC099552.5	-0.02067134537801868	0.04355516459409296	-0.3659625273557	0.3726247270244952	False	NONE	0.12482895581322119	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	CERS6	0.02063829250083023	0.04389220805008874	0.3571428571428572	0.38512064355625636	False	MG_program_05	0.1252703385716461	0.7374834036091266	MARKER_OR_PROGRAM_SUPPORTED	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	PICK1	0.01911170915104165	0.06203644940589849	0.3571428571428572	0.38512064355625636	False	NONE	0.16431016243574662	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	TRIM39	-0.018738182410425533	0.06731603682531138	-0.3571428571428572	0.38512064355625636	False	NONE	0.17396039009702582	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	AC091938.1	-0.0186964276497991	0.06792853852621208	-0.3659625273557	0.3726247270244952	False	NONE	0.17464422151517486	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	IGFBP3	0.01850317766328676	0.07082329540106173	0.3571428571428572	0.38512064355625636	False	NONE	0.18051076926431295	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	TGFBR1	0.018026179321342244	0.0784030442426923	0.3571428571428572	0.38512064355625636	False	NONE	0.1948403902676057	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	SLC7A6	0.01724002646890513	0.09232505082961243	0.3571428571428572	0.38512064355625636	False	NONE	0.217287705597616	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	SPATS2L	-0.016821633500254958	0.10050667807483366	0.3571428571428572	0.38512064355625636	False	NONE	0.23098311106251226	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	SARM1	-0.016709735423352797	0.10279005488701143	-0.3571428571428572	0.38512064355625636	False	NONE	0.23418613037506864	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	MST1	0.01669913550727032	0.10300847735270843	-0.3571428571428572	0.38512064355625636	False	NONE	0.23452761776511527	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	PCDHA10	0.01667303897435579	0.10354779675741912	0.3571428571428572	0.38512064355625636	False	NONE	0.235442232892949	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	MMP9	0.01467943436889747	0.15179451721587858	0.3659625273557	0.3726247270244952	False	NONE	0.3082734943102294	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	TNNI3	-0.013921758507576381	0.1740709256344241	0.3571428571428572	0.38512064355625636	False	NONE	0.3382570741175464	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
RE	ZNF570	0.013878441371363886	0.1754146339043413	0.3571428571428572	0.38512064355625636	False	NONE	0.3404814958710471	0.7374834036091266	SCORE_CORRELATION_ONLY	cell-level correlation is descriptive; donor-level support is required for primary candidates
