gene	hvg_candidate	excluded_disease_union	excluded_mitochondrial	excluded_ribosomal	excluded_technical	retained_for_state_discovery	reason	in_AMD_top1000	in_POAG_top1000	in_RE_top1000
CLDN7	False	False	False	False	False	False	not_HVG	False	False	False
SLC2A4	False	False	False	False	False	False	not_HVG	False	False	False
AC003688.2	False	False	False	False	False	False	not_HVG	False	False	False
YBX2	False	False	False	False	False	False	not_HVG	False	False	False
EIF5A	False	False	False	False	False	False	not_HVG	False	False	False
GPS2	False	False	False	False	False	False	not_HVG	False	False	False
NEURL4	False	False	False	False	False	False	not_HVG	False	False	False
ACAP1	False	False	False	False	False	False	not_HVG	False	False	False
KCTD11	False	False	False	False	False	False	not_HVG	False	False	False
AC026954.3	False	False	False	False	False	False	not_HVG	False	False	False
TMEM95	False	False	False	False	False	False	not_HVG	False	False	False
TNK1	False	False	False	False	False	False	not_HVG	False	False	False
PLSCR3	False	False	False	False	False	False	not_HVG	False	False	False
TMEM256	False	False	False	False	False	False	not_HVG	False	False	False
NLGN2	False	True	False	False	False	False	not_HVG	False	False	True
SPEM1	False	True	False	False	False	False	not_HVG	False	False	True
SPEM2	False	False	False	False	False	False	not_HVG	False	False	False
SPEM3	False	False	False	False	False	False	not_HVG	False	False	False
TMEM102	False	True	False	False	False	False	not_HVG	False	False	True
AC113189.1	False	False	False	False	False	False	not_HVG	False	False	False
FGF11	False	True	False	False	False	False	not_HVG	False	False	True
AC113189.3	False	False	False	False	False	False	not_HVG	False	False	False
CHRNB1	False	True	False	False	False	False	not_HVG	False	False	True
ZBTB4	False	True	False	False	False	False	not_HVG	False	False	True
SLC35G6	False	True	False	False	False	False	not_HVG	False	False	True
POLR2A	False	True	False	False	False	False	not_HVG	False	False	True
TNFSF12	False	True	False	False	False	False	not_HVG	False	False	True
AC016876.3	False	False	False	False	False	False	not_HVG	False	False	False
TNFSF13	False	True	False	False	False	False	not_HVG	False	False	True
SENP3	False	True	False	False	False	False	not_HVG	False	False	True
EIF4A1	False	True	False	False	False	False	not_HVG	False	False	True
CD68	False	True	False	False	False	False	not_HVG	False	False	True
AC016876.1	False	False	False	False	False	False	not_HVG	False	False	False
MPDU1	False	True	False	False	False	False	not_HVG	False	False	True
SOX15	False	True	False	False	False	False	not_HVG	False	False	True
FXR2	False	True	False	False	False	False	not_HVG	False	False	True
SHBG	False	True	False	False	False	False	not_HVG	False	False	True
SAT2	False	True	False	False	False	False	not_HVG	False	False	True
ATP1B2	False	True	False	False	False	False	not_HVG	False	False	True
TP53	False	True	False	False	False	False	not_HVG	False	False	True
WRAP53	False	True	False	False	False	False	not_HVG	False	False	True
EFNB3	False	False	False	False	False	False	not_HVG	False	False	False
DNAH2	False	False	False	False	False	False	not_HVG	False	False	False
KDM6B	False	False	False	False	False	False	not_HVG	False	False	False
TMEM88	False	False	False	False	False	False	not_HVG	False	False	False
NAA38	False	False	False	False	False	False	not_HVG	False	False	False
CYB5D1	False	False	False	False	False	False	not_HVG	False	False	False
CHD3	False	False	False	False	False	False	not_HVG	False	False	False
RNF227	False	False	False	False	False	False	not_HVG	False	False	False
KCNAB3	False	False	False	False	False	False	not_HVG	False	False	False
TRAPPC1	False	False	False	False	False	False	not_HVG	False	False	False
CNTROB	False	False	False	False	False	False	not_HVG	False	False	False
GUCY2D	False	False	False	False	False	False	not_HVG	False	False	False
ALOX15B	False	False	False	False	False	False	not_HVG	False	False	False
AC129492.2	False	False	False	False	False	False	not_HVG	False	False	False
ALOX12B	False	False	False	False	False	False	not_HVG	False	False	False
AC129492.1	False	False	False	False	False	False	not_HVG	False	False	False
ALOXE3	True	False	False	False	False	True	HVG_retained	False	False	False
HES7	False	False	False	False	False	False	not_HVG	False	False	False
PER1	False	False	False	False	False	False	not_HVG	False	False	False
VAMP2	False	False	False	False	False	False	not_HVG	False	False	False
TMEM107	False	False	False	False	False	False	not_HVG	False	False	False
AC129492.4	False	False	False	False	False	False	not_HVG	False	False	False
BORCS6	False	False	False	False	False	False	not_HVG	False	False	False
AURKB	False	False	False	False	False	False	not_HVG	False	False	False
LINC00324	False	False	False	False	False	False	not_HVG	False	False	False
CTC1	False	False	False	False	False	False	not_HVG	False	False	False
PFAS	False	False	False	False	False	False	not_HVG	False	False	False
AC135178.6	False	False	False	False	False	False	not_HVG	False	False	False
SLC25A35	False	False	False	False	False	False	not_HVG	False	False	False
RANGRF	False	False	False	False	False	False	not_HVG	False	False	False
ARHGEF15	False	False	False	False	False	False	not_HVG	False	False	False
AC135178.2	False	False	False	False	False	False	not_HVG	False	False	False
AC135178.5	False	False	False	False	False	False	not_HVG	False	False	False
ODF4	False	False	False	False	False	False	not_HVG	False	False	False
KRBA2	False	False	False	False	False	False	not_HVG	False	False	False
AC135178.4	False	False	False	False	False	False	not_HVG	False	False	False
RPL26	False	False	False	True	False	False	not_HVG	False	False	False
RNF222	False	False	False	False	False	False	not_HVG	False	False	False
NDEL1	False	False	False	False	False	False	not_HVG	False	False	False
MYH10	False	False	False	False	False	False	not_HVG	False	False	False
CCDC42	False	False	False	False	False	False	not_HVG	False	False	False
SPDYE4	False	False	False	False	False	False	not_HVG	False	False	False
MFSD6L	False	False	False	False	False	False	not_HVG	False	False	False
PIK3R6	False	True	False	False	False	False	not_HVG	True	False	False
PIK3R5	False	True	False	False	False	False	not_HVG	True	False	False
AC002091.2	False	False	False	False	False	False	not_HVG	False	False	False
AC002091.1	False	False	False	False	False	False	not_HVG	False	False	False
NTN1	True	False	False	False	False	True	HVG_retained	False	False	False
AC005695.1	False	False	False	False	False	False	not_HVG	False	False	False
AC005695.3	False	False	False	False	False	False	not_HVG	False	False	False
STX8	True	False	False	False	False	True	HVG_retained	False	False	False
AC005695.2	False	False	False	False	False	False	not_HVG	False	False	False
AC087501.1	False	False	False	False	False	False	not_HVG	False	False	False
AC087501.2	False	False	False	False	False	False	not_HVG	False	False	False
AC087501.3	False	False	False	False	False	False	not_HVG	False	False	False
AC087501.4	False	False	False	False	False	False	not_HVG	False	False	False
CFAP52	False	False	False	False	False	False	not_HVG	False	False	False
AC118755.2	False	False	False	False	False	False	not_HVG	False	False	False
USP43	False	False	False	False	False	False	not_HVG	False	False	False
AC118755.1	False	False	False	False	False	False	not_HVG	False	False	False
AC027045.2	False	False	False	False	False	False	not_HVG	False	False	False
DHRS7C	True	False	False	False	False	True	HVG_retained	False	False	False
GSG1L2	False	False	False	False	False	False	not_HVG	False	False	False
AC027045.3	False	False	False	False	False	False	not_HVG	False	False	False
GLP2R	False	False	False	False	False	False	not_HVG	False	False	False
RCVRN	True	False	False	False	False	True	HVG_retained	False	False	False
GAS7	True	True	False	False	False	False	HVG_excluded_disease_gene	False	True	False
AC005291.2	False	False	False	False	False	False	not_HVG	False	False	False
MYH13	False	False	False	False	False	False	not_HVG	False	False	False
AC005291.1	False	False	False	False	False	False	not_HVG	False	False	False
AC005323.2	False	False	False	False	False	False	not_HVG	False	False	False
MYH8	False	False	False	False	False	False	not_HVG	False	False	False
MYH4	False	False	False	False	False	False	not_HVG	False	False	False
MYH1	False	False	False	False	False	False	not_HVG	False	False	False
MYH2	False	False	False	False	False	False	not_HVG	False	False	False
AC005323.1	False	False	False	False	False	False	not_HVG	False	False	False
MYH3	False	False	False	False	False	False	not_HVG	False	False	False
AC002347.1	False	False	False	False	False	False	not_HVG	False	False	False
SCO1	False	False	False	False	False	False	not_HVG	False	False	False
AC002347.2	False	False	False	False	False	False	not_HVG	False	False	False
ADPRM	False	False	False	False	False	False	not_HVG	False	False	False
TMEM220	False	False	False	False	False	False	not_HVG	False	False	False
TMEM220-AS1	False	False	False	False	False	False	not_HVG	False	False	False
AC015908.3	False	False	False	False	False	False	not_HVG	False	False	False
AC015908.4	False	False	False	False	False	False	not_HVG	False	False	False
TMEM238L	False	False	False	False	False	False	not_HVG	False	False	False
PIRT	False	False	False	False	False	False	not_HVG	False	False	False
AC015908.2	False	False	False	False	False	False	not_HVG	False	False	False
AC005548.1	False	False	False	False	False	False	not_HVG	False	False	False
SHISA6	True	True	False	False	False	False	HVG_excluded_disease_gene	False	False	True
AC005725.1	False	False	False	False	False	False	not_HVG	False	False	False
DNAH9	False	False	False	False	False	False	not_HVG	False	False	False
AC005209.1	False	False	False	False	False	False	not_HVG	False	False	False
AC005410.2	False	False	False	False	False	False	not_HVG	False	False	False
ZNF18	False	False	False	False	False	False	not_HVG	False	False	False
MAP2K4	False	False	False	False	False	False	not_HVG	False	False	False
AC005244.2	False	False	False	False	False	False	not_HVG	False	False	False
AC084167.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC00670	False	False	False	False	False	False	not_HVG	False	False	False
AC068442.1	False	False	False	False	False	False	not_HVG	False	False	False
MYOCD	False	False	False	False	False	False	not_HVG	False	False	False
AC005358.1	False	False	False	False	False	False	not_HVG	False	False	False
AC005358.2	False	False	False	False	False	False	not_HVG	False	False	False
ARHGAP44	False	False	False	False	False	False	not_HVG	False	False	False
AC005277.2	False	False	False	False	False	False	not_HVG	False	False	False
AC005277.1	False	False	False	False	False	False	not_HVG	False	False	False
ELAC2	False	False	False	False	False	False	not_HVG	False	False	False
AC005303.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC02093	False	False	False	False	False	False	not_HVG	False	False	False
HS3ST3A1	True	False	False	False	False	True	HVG_retained	False	False	False
COX10-AS1	False	False	False	False	False	False	not_HVG	False	False	False
AC005304.2	False	False	False	False	False	False	not_HVG	False	False	False
AC005304.1	False	False	False	False	False	False	not_HVG	False	False	False
AC005304.3	False	False	False	False	False	False	not_HVG	False	False	False
COX10	False	False	False	False	False	False	not_HVG	False	False	False
CDRT15	False	True	False	False	False	False	not_HVG	False	False	True
AC005224.1	False	False	False	False	False	False	not_HVG	False	False	False
HS3ST3B1	False	True	False	False	False	False	not_HVG	False	False	True
AC005224.3	False	False	False	False	False	False	not_HVG	False	False	False
AC005224.2	False	False	False	False	False	False	not_HVG	False	False	False
AC022816.1	False	False	False	False	False	False	not_HVG	False	False	False
AC013248.1	True	False	False	False	False	True	HVG_retained	False	False	False
AC005863.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC02096	False	False	False	False	False	False	not_HVG	False	False	False
AC005772.1	False	False	False	False	False	False	not_HVG	False	False	False
CDRT7	False	False	False	False	False	False	not_HVG	False	False	False
AC005772.2	False	False	False	False	False	False	not_HVG	False	False	False
CDRT8	False	False	False	False	False	False	not_HVG	False	False	False
PMP22	False	False	False	False	False	False	not_HVG	False	False	False
AC005703.3	False	False	False	False	False	False	not_HVG	False	False	False
AC005703.7	False	False	False	False	False	False	not_HVG	False	False	False
AC005703.1	False	False	False	False	False	False	not_HVG	False	False	False
AC005703.2	False	False	False	False	False	False	not_HVG	False	False	False
TEKT3	False	False	False	False	False	False	not_HVG	False	False	False
AC005703.4	False	False	False	False	False	False	not_HVG	False	False	False
CDRT4	False	False	False	False	False	False	not_HVG	False	False	False
TVP23C	False	False	False	False	False	False	not_HVG	False	False	False
AC005838.2	False	False	False	False	False	False	not_HVG	False	False	False
CDRT1	False	False	False	False	False	False	not_HVG	False	False	False
TRIM16	False	False	False	False	False	False	not_HVG	False	False	False
AC005324.5	False	False	False	False	False	False	not_HVG	False	False	False
ZNF286A	False	False	False	False	False	False	not_HVG	False	False	False
TBC1D26	False	False	False	False	False	False	not_HVG	False	False	False
AC005324.1	False	False	False	False	False	False	not_HVG	False	False	False
AC005324.2	False	False	False	False	False	False	not_HVG	False	False	False
AC015922.2	False	False	False	False	False	False	not_HVG	False	False	False
AC015922.3	False	False	False	False	False	False	not_HVG	False	False	False
LINC02087	False	False	False	False	False	False	not_HVG	False	False	False
ADORA2B	False	False	False	False	False	False	not_HVG	False	False	False
ZSWIM7	False	False	False	False	False	False	not_HVG	False	False	False
TTC19	False	False	False	False	False	False	not_HVG	False	False	False
AC002553.2	False	False	False	False	False	False	not_HVG	False	False	False
NCOR1	False	False	False	False	False	False	not_HVG	False	False	False
AC002553.1	False	False	False	False	False	False	not_HVG	False	False	False
PIGL	False	False	False	False	False	False	not_HVG	False	False	False
CENPV	False	False	False	False	False	False	not_HVG	False	False	False
UBB	False	False	False	False	False	False	not_HVG	False	False	False
AC093484.3	False	False	False	False	False	False	not_HVG	False	False	False
AC093484.2	False	False	False	False	False	False	not_HVG	False	False	False
TRPV2	False	False	False	False	False	False	not_HVG	False	False	False
SNHG29	False	False	False	False	False	False	not_HVG	False	False	False
AC093484.4	False	False	False	False	False	False	not_HVG	False	False	False
LRRC75A	False	False	False	False	False	False	not_HVG	False	False	False
AC127540.2	False	False	False	False	False	False	not_HVG	False	False	False
ZNF287	False	False	False	False	False	False	not_HVG	False	False	False
AC127540.1	False	False	False	False	False	False	not_HVG	False	False	False
ZNF624	False	False	False	False	False	False	not_HVG	False	False	False
AC098850.2	False	False	False	False	False	False	not_HVG	False	False	False
CCDC144A	False	False	False	False	False	False	not_HVG	False	False	False
AC098850.1	False	False	False	False	False	False	not_HVG	False	False	False
FAM106C	False	False	False	False	False	False	not_HVG	False	False	False
AC022596.1	False	False	False	False	False	False	not_HVG	False	False	False
AC022596.2	False	False	False	False	False	False	not_HVG	False	False	False
TNFRSF13B	False	False	False	False	False	False	not_HVG	False	False	False
AC104024.1	False	False	False	False	False	False	not_HVG	False	False	False
LINC02090	False	False	False	False	False	False	not_HVG	False	False	False
