gene_id	gene_symbol	AMD_ZSTAT	AMD_P	POAG_ZSTAT	POAG_P	RE_ZSTAT	RE_P
100129361	SMIM10L1	0.87146	0.19175	0.60101	0.27392	0.46493	0.32099
100129385	C9orf92	-0.1335	0.5531	-0.23864	0.59431	0.68821	0.24566
100129480	MKRN2OS	0.80436	0.2106	-1.2703	0.89801	1.8682	0.030864
100129520	LOC100129520	0.73847	0.23011	-0.55573	0.7108		
100129528	MUC8	-0.41235	0.65996	0.84831	0.19813	1.299	0.09697
100129543	ZNF730	-0.94979	0.82889	0.34347	0.36562	0.09826	0.46086
100129583	FAM47E	-0.84012	0.79958	1.4336	0.075848	1.3882	0.082537
100129654	TCF24	-1.6417	0.94968	0.91798	0.17931	1.2672	0.10254
100129669	IZUMO3	0.18573	0.42633	-0.4256	0.6648	2.3766	0.0087367
100129697	LOC100129697	-1.0174	0.84552	1.2944	0.097764	0.12815	0.44901
100129792	CCDC152	1.2233	0.11062	0.71096	0.23856	1.0157	0.15489
100129842	ZNF737	0.92351	0.17787	-1.1158	0.86774	1.5192	0.064361
100129924	LOC100129924	-0.40714	0.65805	1.3221	0.093069	1.5746	0.057677
100129940	LOC100129940	-0.065197	0.52599	1.5608	0.059289	1.8948	0.029057
10013	HDAC6	-0.25102	0.5991	1.0072	0.15692		
100130086	HSFX2	0.69774	0.24267	-0.4382	0.66938		
100130097	KIF28P	0.30792	0.37907	0.68719	0.24598	1.0411	0.14892
100130274	CCDC166	-0.23926	0.59455	0.35458	0.36145	-1.6453	0.95005
100130301	C8orf89	1.4361	0.07548	0.9917	0.16067	4.4122	5.1174e-06
100130302	SUPT20HL1	-0.037476	0.51495	0.75504	0.22511		
100130311	C17orf107	-0.082287	0.53279	-0.24267	0.59587	1.4417	0.074696
100130348	TMEM262	-0.48937	0.68771	1.4596	0.072197	-0.3635	0.64189
100130357	LOC100130357	-0.51679	0.69735	-0.38628	0.65036	0.79545	0.21318
100130361	CXorf49	-0.45917	0.67694	2.8865	0.0019479		
100130370	LOC100130370	0.56877	0.28475	0.75224	0.22595	2.5878	0.0048298
100130451	LOC100130451	0.33537	0.36867	-1.1731	0.87963	0.57867	0.28141
100130519	TMEM221	1.399	0.080908	0.95535	0.1697	1.7591	0.039278
100130520	LOC100130520	-0.69867	0.75762	-0.53885	0.705	0.42887	0.33401
100130539	C10orf142	-0.2712	0.60688	-0.56119	0.71267	-0.50169	0.69206
100130613	PRR32	-0.51497	0.69671	0.49708	0.30957		
100130705	LOC100130705	-0.15662	0.56223	-0.052412	0.5209	-2.491	0.99363
100130733	LRRC70	-0.65814	0.74478	1.0933	0.13714	2.2819	0.011247
100130742	LRRC69	-0.0011758	0.50047	-0.20967	0.58304	2.8271	0.0023489
100130827	SBK3	-0.80689	0.79014	0.12354	0.45084	0.53163	0.29749
100130880	LOC100130880	-0.35646	0.63925	0.89511	0.18537	3.9766	3.4953e-05
100130890	TSTD3	0.914	0.18036	0.67461	0.24996	3.3598	0.00039002
100130933	SMIM6	-1.1171	0.86803	-0.31302	0.62287	0.24128	0.40467
100130958	SYCE1L	-0.84796	0.80177	1.8482	0.032285	-0.97823	0.83602
100130967	C6orf99	-0.091871	0.5366	-0.077273	0.5308	1.1682	0.12137
100130988	C7orf72	-1.9275	0.97304	-0.20132	0.57978	1.4805	0.069375
100131017	ZNF316	0.029818	0.48811	0.57058	0.28414	1.5455	0.061113
100131094	DPP9-AS1	0.061273	0.47557	1.1156	0.13229	2.2994	0.010741
100131107	LOC100131107	-0.60464	0.72729	0.13749	0.44532	2.4811	0.0065495
100131137	BSPH1	-0.40429	0.657	-1.7314	0.95831	3.4053	0.00033044
100131187	TSTD1	0.096561	0.46154	-0.66872	0.74816	-0.28325	0.61151
100131211	TMEM194B	-1.4119	0.92101	0.4327	0.33262	0.44769	0.32719
100131244	ANKRD63	0.16838	0.43314	-0.82446	0.79516	-1.6514	0.95067
100131378	C11orf91	2.1428	0.016064	-1.1505	0.87504	-0.92764	0.8232
100131390	SP9	-0.7052	0.75966	1.1425	0.12662	2.0251	0.021431
100131439	CD300LD	-0.34017	0.63314	-0.6684	0.74806	0.41955	0.33741
100131539	ZNF705E	0.22876	0.40953	-0.18847	0.57475	1.0372	0.14982
100131608	PRR23D1			-0.28046	0.61044		
100131755	ARMCX4	0.64847	0.25834	0.29011	0.38587		
100131801	PET100	1.1263	0.13003	2.0581	0.019791	0.27592	0.3913
100131827	ZNF717	1.4737	0.070284	0.14799	0.44118	0.091399	0.46359
100131897	FAM196B	0.23668	0.40645	0.84309	0.19959	1.5586	0.059546
100131902	KRTAP25-1	-0.33783	0.63225	0.57111	0.28396	-0.81807	0.79334
100131980	ZNF705G			1.4235	0.077297	0.25312	0.40009
100132004	LOC100132004			-0.87114	0.80816		
100132074	FOXO6	-1.0506	0.85327	1.7857	0.037072	1.4835	0.06897
100132146	LOC100132146	0.18471	0.42673	1.1291	0.12943	-0.071955	0.52868
100132154	LOC100132154			0.73387	0.23151		
100132247	NPIPB5			-0.22153	0.58766	0.6153	0.26918
100132386	KRTAP4-9	-1.79	0.96327	-0.18295	0.57258	1.0061	0.15719
100132396	ZNF705B			0.34993	0.3632		
100132403	FAM157B					-0.52002	0.69848
100132406	NBPF10	0.65234	0.25709	0.17911	0.42893	0.70515	0.24036
100132463	CLDN24	1.4734	0.070319	1.509	0.065656	0.80801	0.20954
100132476	KRTAP4-7	-0.50602	0.69358	-0.2642	0.60419	0.83577	0.20164
100132731	LOC100132731	0.41585	0.33876	-0.27136	0.60694	0.15969	0.43656
100132874	LOC100132874			-1.3519	0.91179		
100132911	DPH3P1	1.577	0.0574	-1.5768	0.94258	1.2729	0.10152
100132916	FAM159B	-1.029	0.84825	0.39151	0.34771	1.7532	0.039784
100132963	SMIM9	0.040016	0.48404	-0.58069	0.71928		
100132994	CXorf49B	0.23688	0.40638	2.9401	0.0016403		
100133053	CXorf51B	-0.033782	0.51347	0.34709	0.36426		
100133128	LOC100133128	-1.2841	0.90044	-0.01781	0.5071	0.24784	0.40213
100133220	GOLGA6L3	-0.05532	0.52206	0.63246	0.26354	1.6735	0.047112
100133251	PRR23D2			-0.97484	0.83518		
100133267	LOC100133267			0.12899	0.44868	2.2219	0.013145
100133301	FAM231B	-1.5238	0.93622	0.5339	0.2967	0.92944	0.17633
100134391	LOC100134391	1.0605	0.14446	-0.94073	0.82658	1.0672	0.14295
100134934	TEN1	0.36102	0.35904	0.39212	0.34748	0.30289	0.38099
100134938	UPK3BL			0.49387	0.3107		
100137047	JMJD7	-0.32145	0.62607	1.3923	0.08191	0.21809	0.41368
100137049	PLA2G4B	0.018805	0.4925	1.7528	0.039817	0.5515	0.29065
10014	HDAC5	1.992	0.023184	0.034837	0.4861	0.76227	0.22295
100141515	C17orf99	1.5794	0.057125	-0.58789	0.7217	1.0954	0.13666
100142659	CTAGE8	0.30548	0.38	1.6862	0.045879	-1.2988	0.903
100144595	LOC100144595	-0.73343	0.76835	-0.29478	0.61592	0.62916	0.26462
100144748	KLLN	-0.54741	0.70795	0.64922	0.2581	0.92885	0.17648
10015	PDCD6IP	-0.52263	0.69938	1.3164	0.094021	3.099	0.00097075
10016	PDCD6	0.54395	0.29324	-1.1164	0.86788	2.1622	0.015303
100169851	PATE3	-1.357	0.91261	0.15639	0.43786	2.571	0.0050702
10017	BCL2L10	-0.95024	0.829	0.51727	0.30248	2.5165	0.0059268
100170229	SRRM5	-0.1488	0.55914	2.269	0.011635	0.50626	0.30634
100170765	ERICH4	0.95568	0.16962	-0.60716	0.72813	2.9832	0.0014262
100170841	C17orf96	0.10001	0.46017	1.7874	0.036938	2.2428	0.012455
10018	BCL2L11	2.8253	0.0023618	-0.6694	0.74838	3.1551	0.00080217
100188893	TOMM6	0.68602	0.24635	1.6898	0.045532	1.1187	0.13163
10019	SH2B3	2.8132	0.0024522	1.0352	0.15028	0.74972	0.22671
100190949	C5orf52	0.89071	0.18654	1.2914	0.098286	-0.043654	0.51741
100191040	C2CD4D	1.266	0.10275	-2.1829	0.98548	2.5036	0.0061476
1002	CDH4	-1.4378	0.92475	0.60514	0.27254	1.3814	0.083577
10020	GNE	0.51817	0.30217	-1.1599	0.87695	0.004056	0.49838
10021	HCN4	1.1688	0.12125	0.2646	0.39566	1.3393	0.090231
10022	INSL5	-0.55941	0.71206	0.8753	0.19071	-2.4293	0.99244
10023	FRAT1	1.0672	0.14294	-0.023338	0.50931	1.0036	0.15777
10024	TROAP	-1.3929	0.91818	-0.33744	0.63211	-0.92907	0.82357
10025	MED16	3.5735	0.00017615	-0.29927	0.61763	0.078581	0.46868
10026	PIGK	0.20861	0.41738	0.32285	0.3734	0.049653	0.4802
100271715	ARHGEF33	-0.32678	0.62808	0.34851	0.36373	1.153	0.12446
100271846	ERVV-2	1.4213	0.077608	0.4502	0.32628	-1.0883	0.86178
100271849	MEF2B	-2.0155	0.97808	0.51912	0.30184	1.9122	0.027927
100271927	RASA4B	0.48367	0.31431	0.78199	0.21711	1.4088	0.079448
100272147	CMC4	0.21751	0.41391	0.71195	0.23825		
100287013	FAM86KP			0.37181	0.35502	-0.053656	0.5214
100287036	LOC100287036	-2.334	0.9902	1.2543	0.10487	1.7579	0.039383
100287144	USP17L10			-1.0946	0.86314		
100287171	WASH1			0.80203	0.21127	1.6682	0.047635
100287178	USP17L11			-0.96628	0.83305		
100287205	USP17L12			-1.045	0.85198		
100287226	ZNF729	1.3369	0.09063	1.1548	0.12408	-0.60882	0.72868
100287238	USP17L13			-0.78426	0.78356		
100287284	MANSC4	-0.3709	0.64465	-0.47537	0.68274	0.60676	0.272
100287290	LOC100287290	0.026287	0.48951	1.9215	0.027337	1.155	0.12404
100287294	LOC100287294			-0.02283	0.50911	-0.63252	0.73648
100287327	USP17L17			-0.24595	0.59714		
100287362	PRSS46	-0.75208	0.774	-0.46402	0.67868	0.75152	0.22617
100287364	USP17L18			-0.24595	0.59714		
100287387	LOC100287387	0.85069	0.19747	2.6077	0.0045583	0.27138	0.39305
100287404	USP17L19			-0.24595	0.59714		
100287441	USP17L20			-0.24595	0.59714		
100287477	LOC100287477	-0.025375	0.51012	-1.2689	0.89776	-0.2917	0.61474
100287478	USP17L21			-0.24595	0.59714		
100287482	SMKR1	-0.1319	0.55247	1.0073	0.15689	2.5174	0.0059118
100287513	USP17L22			-0.24595	0.59714		
100287718	ANKRD66	0.99356	0.16022	1.3031	0.096275	0.50539	0.30664
100287898	TTC34	0.10271	0.4591	0.26921	0.39388	2.2295	0.01289
100287932	TIMM23	-1.6709	0.95263	0.91365	0.18045	0.43989	0.33001
100288142	NBPF20			0.37401	0.3542		
100288287	KRTAP22-2	-1.1196	0.86855	-1.0318	0.84892	1.7441	0.040574
100288323	KRTAP21-3	-1.7633	0.96108	-0.34556	0.63516	1.0749	0.14122
100288332	NPIPA5	-1.0175	0.84555	0.00045872	0.49982	-0.74224	0.77103
100288413	ERVMER34-1	-0.07301	0.5291	1.2942	0.097804	0.21057	0.41661
100288485	MTRNR2L7	0.8121	0.20837	0.29266	0.38489	-1.1408	0.87302
100288520	USP17L15			-0.4076	0.65822		
100288524	WI2-2373I1.2	0.28644	0.38727	0.018426	0.49265	0.47017	0.31912
100288562	LOC100288562			0.62277	0.26672	-0.029332	0.5117
100288695	LIMS3L			-0.87305	0.80868		
100288797	TMEM239	-0.88367	0.81156	-0.038191	0.51523	-0.027542	0.51099
100288801	FRG2C			-1.6485	0.95037	0.47594	0.31706
100288814	CLDN34	-0.65754	0.74458	0.081607	0.46748		
100289187	GS1-259H13.2	0.78263	0.21692	-0.61804	0.73172	0.02055	0.4918
100289462	DEFB4B			0.13712	0.44547	1.0871	0.1385
100289561	LOC100289561	-0.52371	0.69976	1.0159	0.15485	1.1875	0.11751
100289635	ZNF605	0.48818	0.31271	-0.92128	0.82155	2.8678	0.0020668
100289678	ZNF783	-0.32013	0.62556	-0.13608	0.55412	1.2951	0.097645
100293516	ZNF587B	1.463	0.071731	-0.85495	0.80371	3.2982	0.00048651
100293704	LOC100293704	2.2587	0.011952	1.9921	0.023179	1.4014	0.080548
1003	CDH5	-0.087931	0.53503	-0.56879	0.71525	0.74669	0.22762
100302652	GPR75-ASB3	2.0356	0.020895	2.0181	0.02179	4.3513	6.7658e-06
100302736	TMED7-TICAM2	-1.3783	0.91595	1.458	0.072425	1.7403	0.040904
100303755	PET117	-1.143	0.87348	0.2313	0.40854	0.61271	0.27003
100310812	SPDYE2B	-0.13275	0.55281	-1.5588	0.94047	-0.99809	0.84088
100310846	ANKRD61	-1.7866	0.963	-0.6695	0.74841	0.84811	0.19819
100316904	SAP25	1.7802	0.037523	0.9834	0.16271	2.4871	0.0064395
100329135	TRPC5OS	0.39988	0.34462	-0.56065	0.71248		
10036	CHAF1A	1.5448	0.061191	-0.79924	0.78792	-0.82339	0.79486
10038	PARP2	0.62724	0.26525	-0.58628	0.72116	0.77257	0.21989
100381270	ZBED6	-0.34599	0.63533	1.8892	0.029432	-0.052753	0.52104
10039	PARP3	-0.18913	0.57501	0.55856	0.28823	1.783	0.037289
1004	CDH6	0.65029	0.25775	-0.6913	0.75531	0.052179	0.47919
10040	TOM1L1	-0.51002	0.69498	-1.1279	0.87031	0.34899	0.36355
10042	HMGXB4	-0.56404	0.71364	-0.60278	0.72667	1.4559	0.072705
100423062	IGLL5	-0.23632	0.59341	-0.61494	0.7307	-0.045291	0.51806
10043	TOM1	0.016557	0.49339	-1.3265	0.90767	1.6022	0.054557
100431172	KLRF2	0.42434	0.33566	2.0919	0.018225	0.71305	0.23791
10044	SH2D3C	-0.76787	0.77872	-0.14017	0.55574	2.5347	0.0056278
10045	SH2D3A	5.4177	3.0179e-08	-1.0871	0.86149	0.29004	0.38589
10046	MAMLD1	-0.29914	0.61758	1.6055	0.05419		
100462977	MTRNR2L1	1.1864	0.11772	0.50185	0.30789	0.69928	0.24219
100462981	MTRNR2L2	-0.30187	0.61862	0.28458	0.38798	0.34868	0.36366
100462983	MTRNR2L3	0.84036	0.20035	-0.013659	0.50545	-0.11828	0.54708
100463285	MTRNR2L4	0.98092	0.16332	-0.94237	0.827	0.5255	0.29962
100463289	MTRNR2L5	0.3794	0.35219	-0.13216	0.55257	-1.0188	0.84585
100463482	MTRNR2L6	1.1557	0.1239	-0.81088	0.79128	0.63295	0.26338
100463486	MTRNR2L8	2.3211	0.01014	0.67811	0.24885	1.5743	0.057711
100463487	MTRNR2L9	-0.3486	0.63631	-1.0834	0.86068	0.84295	0.19963
100463488	MTRNR2L10	0.54345	0.29341	-0.85735	0.80437		
10047	CST8	0.08088	0.46777	0.61293	0.26996	2.0847	0.018547
10048	RANBP9	-1.6716	0.9527	0.35622	0.36084	1.3377	0.090499
10049	DNAJB6	-1.9167	0.97236	-0.45583	0.67574	1.6717	0.047291
100499483	CCDC180	-1.7929	0.96351	0.82744	0.20399	2.2102	0.013545
1005	CDH7	1.6364	0.050881	-1.3114	0.90515	3.0386	0.0011883
10050	SLC17A4	3.0502	0.0011433	1.1459	0.12592	6.0025	9.7134e-10
100500938	CCDC179	1.0324	0.15095	0.43029	0.33349	-0.63137	0.7361
100505385	IQCJ-SCHIP1	1.2495	0.10574	1.6986	0.044698	2.222	0.013141
100505478	LOC100505478	1.4644	0.071539	0.59912	0.27455	1.9426	0.026032
100505502	LOC100505502	0.97029	0.16595	0.66791	0.2521	0.73639	0.23075
100505549	LOC100505549	-0.13136	0.55225	1.2087	0.1134	-1.0443	0.85183
100505555	LOC100505555	-1.3819	0.9165	0.25417	0.39968	-0.95612	0.83049
100505570	LOC100505570	2.4963	0.0062743	-1.0333	0.84927	5.1244	1.4922e-07
100505573	INAFM2	-0.075613	0.53014	0.40041	0.34443	-0.076021	0.5303
100505591	LRRC3C	2.9686	0.0014956	-0.99135	0.83924	5.313	5.3931e-08
100505679	UBE2Q2L	-0.06536	0.52606	-1.8419	0.96725	-0.11248	0.54478
100505724	KRTAP9-7	-0.47534	0.68273	0.89561	0.18523	-0.54047	0.70556
100505741	SPATA1	-1.1288	0.87052	0.6121	0.27024	0.56216	0.287
100505753	KRTAP16-1	-0.15024	0.55971	0.92489	0.17751	-0.30172	0.61857
100505767	SPDYE18	-0.96799	0.83348	0.85877	0.19523	0.33291	0.3696
100505797	LOC100505797	-2.1282	0.98334	-0.021342	0.50851	-0.63207	0.73633
100505841	LOC100505841	0.62879	0.26474	0.99095	0.16085	-0.11232	0.54472
100505877	UBE2E2-AS1	-0.56321	0.71335	1.9264	0.02703	1.3631	0.086431
100505993	TMEM210	-1.3862	0.91716	-0.20153	0.57986	1.2682	0.10237
100506012	PPP5D1	1.8014	0.035818	-0.11154	0.5444	0.88878	0.18706
100506013	APELA	-1.214	0.88763	1.2024	0.1146	0.7832	0.21675
100506049	LRRC72	1.2876	0.098949	0.58417	0.27955	0.12672	0.44958
100506084	ARL17B	-0.12519	0.54981	3.1673	0.00076929	5.4981	1.9191e-08
100506115	LINC01272	-0.67397	0.74984	0.54744	0.29204	1.7747	0.037971
100506127	LOC100506127	-1.3147	0.9057	1.4562	0.072663	1.2333	0.10873
100506144	ZMYM6NB	0.039463	0.48426	0.43697	0.33107	1.8523	0.031993
100506164	HSFX1	-0.54264	0.70631	-0.72842	0.76682		
100506217	LOC100506217	-0.31473	0.62352	-0.94042	0.8265	0.82251	0.20539
100506243	KRBOX1	-0.59039	0.72254	1.1218	0.13098	0.93007	0.17617
100506248	LOC100506248	-0.50327	0.69261	-0.7382	0.7698	0.65905	0.25493
100506374	LOC100506374	0.49734	0.30947	0.72135	0.23535	2.7965	0.0025828
100506388	LOC100506388	-0.60638	0.72787	-0.31154	0.62231	0.7859	0.21596
100506422	LOC100506422	1.5542	0.060067	-0.92749	0.82316	2.6278	0.0042971
100506504	LOC100506504	1.5226	0.063926	1.0079	0.15675	2.5041	0.0061388
100506564	THEGL	-0.94665	0.82809	-0.25798	0.60179	0.45264	0.32541
100506571	LOC100506571	-0.0021794	0.50087	0.38114	0.35155	0.10048	0.45998
100506581	C16orf95	-1.8365	0.96685	1.5044	0.066239	2.6617	0.0038875
100506627	DCDC5	0.85381	0.19661	-0.16155	0.56417	1.5019	0.066568
100506650	C17orf112	-1.1459	0.87408	-0.95957	0.83136	0.62442	0.26617
100506658	OCLN	1.6808	0.046399	-0.11309	0.54502	0.53402	0.29666
100506718	LOC100506718	0.2447	0.40334	1.4699	0.070799	0.88242	0.18877
100506736	SLFN12L	-0.12923	0.55141	-0.20949	0.58297	-0.84533	0.80104
100506742	CASP12	0.90301	0.18326	-1.3833	0.91672	0.62053	0.26745
100506888	TCEB3CL2	0.18807	0.42541	0.6618	0.25405	1.0345	0.15046
100506922	LOC100506922	-0.98922	0.83872	-0.87395	0.80893	0.65447	0.2564
100506944	LOC100506944	2.4638	0.0068735	2.6095	0.0045342	1.2557	0.10462
100507003	GFY	-0.094286	0.53756	0.20008	0.42071	2.673	0.0037593
100507027	MRLN	0.83657	0.20142	0.43121	0.33316	0.15178	0.43968
100507050	TPBGL	-0.17772	0.57053	0.92322	0.17795	-1.0802	0.85998
100507055	LRCOL1	0.21532	0.41476	1.3654	0.086063	2.0722	0.019123
100507096	GIMD1	-0.52399	0.69986	0.95137	0.17071	2.0125	0.022083
100507170	CT47A12	-1.1971	0.88437	-0.31287	0.62281		
100507203	SMLR1	1.7649	0.038791	1.2355	0.10832	0.10232	0.45925
100507221	LOC100507221			-1.5196	0.93569	0.26452	0.39569
100507290	ZNF865	0.52393	0.30016	-0.12078	0.54807	1.4983	0.067024
100507341	SMIM18	1.2487	0.10589	3.7026	0.00010672	1.587	0.056254
100507421	TMEM178B	-1.5718	0.942	-0.053796	0.52145	1.4116	0.079039
100507436	MICA	4.1543	1.6315e-05	1.8812	0.029971	1.2808	0.10013
100507462	LOC100507462	-1.0462	0.85227	-0.43416	0.66791	-0.39984	0.65536
100507507	LOC100507507	-0.60209	0.72644	-1.9704	0.97561	1.8306	0.033582
100507527	THEG5	0.80747	0.2097	1.7534	0.039764	2.0737	0.019052
100507588	TGFBR3L	-0.0059318	0.50237	-1.8123	0.96503	1.0134	0.15544
100507607	NPIPB9	0.71492	0.23733	-0.033907	0.51352	1.0405	0.14904
100507608	KRTAP9-6	-0.68531	0.75343	0.93103	0.17592	-0.36286	0.64164
100507650	RNF212B	-0.54983	0.70878	1.9091	0.028127	2.1844	0.014467
100507679	MUC22	6.1821	3.1622e-10	1.5771	0.057383	0.61776	0.26837
100509091	LOC100509091	-0.43211	0.66717	-1.0495	0.85303		
10051	SMC4	2.558	0.0052642	0.15679	0.43771	-0.78317	0.78324
10052	GJC1	1.6566	0.048796	1.7759	0.037871	3.3125	0.00046226
100526664	LY75-CD302	-1.299	0.90302	1.8996	0.028741	2.1771	0.014737
100526693	ARPC4-TTLL3	1.2438	0.10679	1.4024	0.080397	-0.42903	0.66605
100526694	MSANTD3-TMEFF1	0.3973	0.34557	1.5558	0.059872	2.9084	0.0018162
100526737	RBM14-RBM4	1.8672	0.030936	1.3758	0.084439	1.9267	0.027012
100526739	APITD1-CORT	-0.80759	0.79034	1.0528	0.14621	4.0051	3.0995e-05
100526740	ATP5J2-PTCD1	0.66802	0.25206	-0.81013	0.79107	-0.28842	0.61349
100526761	CCDC169-SOHLH2	2.6517	0.0040047	-0.79053	0.78539	-0.71841	0.76375
100526767	RNF103-CHMP3	-0.89247	0.81393	0.061986	0.47529	0.051634	0.47941
100526772	TMEM110-MUSTN1	-1.5696	0.94175	1.9907	0.023256	0.61516	0.26922
100526773	EPPIN-WFDC6	1.9459	0.025834	-1.3732	0.91516	0.39248	0.34735
100526783	C15orf38-AP3S2	1.0405	0.14905	-0.51003	0.69498	0.3984	0.34517
100526794	NT5C1B-RDH14	-2.1254	0.98322	-0.42605	0.66496	1.0065	0.15708
100526832	PHOSPHO2-KLHL23	0.62802	0.265	-0.06198	0.52471	-0.13065	0.55197
100526835	FPGT-TNNI3K	0.79333	0.21379	-0.044797	0.51787	2.6298	0.004272
100526842	RPL17-C18orf32	2.2882	0.011063	1.1291	0.12943	3.767	8.2615e-05
100527943	TGIF2-C20orf24	-1.1909	0.88315	-0.77415	0.78058	2.3358	0.009751
100527949	GIMAP1-GIMAP5	0.093333	0.46282	-0.62492	0.73399	-0.79694	0.78726
100527963	PMF1-BGLAP	0.46458	0.32112	0.55731	0.28866	0.98522	0.16226
100527978	TMEM56-RWDD3	-1.3967	0.91875	-0.59452	0.72392	1.5224	0.063951
100528017	SAA2-SAA4	0.93921	0.17381	0.47621	0.31696	0.29863	0.38261
100528021	ST20-MTHFS	-1.1264	0.87001	0.85121	0.19733	1.26	0.10383
100528030	POC1B-GALNT4	-0.55094	0.70916	-0.048685	0.51941	2.2952	0.010862
100528032	KLRC4-KLRK1	1.3473	0.088945	-0.4875	0.68705	1.3687	0.085544
100528062	ARMCX5-GPRASP2	-0.97961	0.83636	-0.37887	0.64761		
100528064	NEDD8-MDP1	-1.4811	0.93071	0.88141	0.18905	1.3981	0.081045
100529063	BCL2L2-PABPN1	-0.23058	0.59118	1.6409	0.05041	2.6484	0.0040431
100529097	RPL36A-HNRNPH2	0.56315	0.28667	0.026629	0.48938		
100529144	CORO7-PAM16	0.70547	0.24026	1.5222	0.063976	3.3897	0.0003498
100529215	ZNF559-ZNF177	-1.3167	0.90602	1.004	0.15768	0.60252	0.27342
100529239	RPS10-NUDT3	1.4321	0.07606	0.026931	0.48926	1.195	0.11604
100529240	ZNF816-ZNF321P	1.3625	0.086513	0.53317	0.29696	-0.77492	0.78081
100529241	HSPE1-MOB4	0.47686	0.31673	0.99595	0.15964	-0.32275	0.62656
100529251	CKLF-CMTM1	1.9224	0.027279	1.6248	0.052101	0.069605	0.47225
100529257	SYNJ2BP-COX16	-1.4469	0.92604	0.80281	0.21104	0.97385	0.16506
100529261	CHURC1-FNTB	-0.50305	0.69254	0.37206	0.35492	2.1665	0.015136
10053	AP1M2	-1.2466	0.89372	-0.38243	0.64893	0.34696	0.36431
100532726	NDUFC2-KCTD14	0.91243	0.18077	-0.63806	0.73828	0.20856	0.4174
