gene_symbol	gene_id	muller_nearest_peak_count	all_class_nearest_peak_count	muller_specificity_ratio	n_classes_with_nearest_peak	classes	context_status
CYP4X1	260293	1	11	0.0909090909	6	AC;BC;Cone;HC;MG;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PLEKHG3	26030	36	149	0.241610738	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
OSBPL3	26031	11	110	0.1	8	AC;Astrocyte;BC;Cone;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SUSD5	26032	0	4	0	4	AC;BC;Cone;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ATRNL1	26033	6	107	0.0560747664	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
IPCEF1	26034	14	105	0.133333333	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GLCE	26035	5	122	0.0409836066	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF451	26036	1	27	0.037037037	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SIPA1L1	26037	20	157	0.127388535	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CHD5	26038	9	199	0.0452261307	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SS18L1	26039	3	51	0.0588235294	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SETBP1	26040	18	195	0.0923076923	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
MAGI3	260425	15	221	0.0678733032	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PRSS33	260429	3	21	0.142857143	8	Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
UBXN7	26043	5	51	0.0980392157	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PYDC1	260434	0	3	0	2	AC;Microglia	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FDCSP	260436	0	3	0	3	AC;BC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LRRTM2	26045	19	337	0.056379822	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
LTN1	26046	6	64	0.09375	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
CNTNAP2	26047	6	148	0.0405405405	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ZNF500	26048	8	60	0.133333333	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
FAM169A	26049	12	84	0.142857143	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SLITRK5	26050	5	47	0.106382979	8	AC;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
PPP1R16B	26051	1	78	0.0128205128	8	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
DNM3	26052	3	50	0.06	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
AUTS2	26053	42	597	0.0703517588	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
SENP6	26054	10	103	0.0970873786	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
RAB11FIP5	26056	4	47	0.085106383	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ANKRD17	26057	6	89	0.0674157303	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
GIGYF2	26058	9	54	0.166666667	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
ERC2	26059	10	170	0.0588235294	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
APPL1	26060	4	40	0.1	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
HACL1	26061	10	69	0.144927536	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
DECR2	26063	5	48	0.104166667	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
RAI14	26064	23	255	0.0901960784	9	AC;Astrocyte;BC;Cone;HC;MG;Microglia;RGC;Rod	OFFICIAL_NEAREST_GENE_CONTEXT_NOT_CRE_GENE_LINK
