record_type	source	donor_id	sample_id_or_group_replicate	retinal_regions	ancestry	age	n_cells	n_donors	n_samples	broad_class	n_peaks	source_genome_build	analysis_genome_build	phase3a_overlap	notes
class_peak_resource	official_supplement_Table_S12		MG._.ATAC_22_0183_Retina_N							MG	167637	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		MG._.ATAC_MMD-22-16477_22-2815-mac							MG	167637	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		MG._.D018_13_lobe							MG	167637	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		MG._.D027_13_macular							MG	167637	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		RGC._.19_D010_macular_NeuN_1							RGC	205224	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		RGC._.19_D010_macular_NeuN_2							RGC	205224	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		RGC._.19_D010_macular_NeuN_3							RGC	205224	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		RGC._.19_D019_macular_NeuN_3							RGC	205224	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		RGC._.ATAC_22_0183_fovea_retina							RGC	205224	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		AC._.19D016_macular							AC	215994	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		AC._.19_D010_macular_NeuN_1							AC	215994	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		AC._.ATAC-MMD-22-16608-Mac-22-2855							AC	215994	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		AC._.ATAC-MMD-22-20137-Mac-22-3875							AC	215994	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		AC._.D013_13_lobe							AC	215994	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		HC._.19D016_macular							HC	167646	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		HC._.ATAC-MMD-22-17464-Mac-22-3135							HC	167646	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		HC._.ATAC_22_0389_fovea_retina							HC	167646	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		HC._.ATAC_MMD-22-16608_Mac_22-2855							HC	167646	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		HC._.D019_13_macular							HC	167646	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		BC._.19_D010_lobe							BC	211077	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		BC._.19_D011_lobe							BC	211077	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		BC._.ATAC-MMD-22-17464-Mac-22-3135							BC	211077	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		BC._.ATAC_22_0183_Retina_N							BC	211077	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		BC._.ATAC_22_0389_Retina_N							BC	211077	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Cone._.19D013_macular							Cone	218488	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Cone._.19D016_macular							Cone	218488	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Cone._.ATAC-MMD-22-16608-Mac-22-2855							Cone	218488	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Cone._.ATAC_22_0389_fovea_retina							Cone	218488	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Cone._.ATAC_22_0784_Retina_N							Cone	218488	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Rod._.19_D010_macular							Rod	135675	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Rod._.19_D019_lobe							Rod	135675	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Rod._.ATAC-MMD-22-20137-Mac-22-3875							Rod	135675	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Rod._.ATAC_MMD-22-17464_Mac_22-3135							Rod	135675	GRCh38/hg38			official GroupReplicate label from the class peak table
class_peak_resource	official_supplement_Table_S12		Rod._.D018_13_lobe							Rod	135675	GRCh38/hg38			official GroupReplicate label from the class peak table
