trait	gene	magma_z	magma_p	muller_nearest_ocr_count	all_class_nearest_ocr_count	muller_specificity_ratio	official_regulatory_evidence	interpretation
POAG	PNPT1	4.4065	5.2529e-06	15.0	49.0	0.306122449	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	DDB2	4.3089	8.2018e-06	4.0	29.0	0.137931034	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	C11orf49	4.2593	1.0255e-05	8.0	98.0	0.0816326531	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
POAG	PACSIN3	4.0086	3.0545e-05	8.0	56.0	0.142857143	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	BICC1	8.2815	6.0793e-17	17.0	70.0	0.242857143	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	BMP3	7.7451	4.774e-15	1.0	67.0	0.0149253731	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	C17orf82	7.5534	2.1205e-14	8.0	58.0	0.137931034	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	BARHL2	6.4908	4.2691e-11	12.0	200.0	0.06	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	BIN3	6.3411	1.1409e-10	20.0	94.0	0.212765957	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	APOE	6.217	2.5337e-10	9.0	37.0	0.243243243	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	ACO2	6.1241	4.5604e-10	13.0	160.0	0.08125	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	CHRND	6.1094	5e-10	10.0	23.0	0.434782609	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	ABHD6	6.0677	6.4862e-10	7.0	82.0	0.0853658537	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	CMSS1	5.9777	1.1315e-09	11.0	149.0	0.0738255034	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	BAHCC1	5.605	1.0414e-08	10.0	81.0	0.12345679	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	ACTC1	5.5838	1.1764e-08	10.0	113.0	0.0884955752	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	C14orf39	5.0733	1.9552e-07	14.0	71.0	0.197183099	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	C10orf95	4.6883	1.3772e-06	4.0	42.0	0.0952380952	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
RE	CERS4	4.0747	2.3041e-05	34.0	183.0	0.18579235	PUBLISHED_TABLE_S20_CRE_CONTEXT	prioritized regulatory candidate; not a causal gene and not a formal Müller CRE-gene link
